Field,BN,$9,$a,SF2,Aut,Biblio
650,62,19549,MANUALES,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=19549#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=62#tab6XX
700,62,7005,"Higgins, Lindley R.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=7005#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=62#tab7XX
700,62,10001,"Morrow, Lester Coridon",1888-1971,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=10001#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=62#tab7XX
100,68,9179,"Marshall, Guillermo",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=9179#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=68#tab1XX
650,68,16102,CALCULO DIFERENCIAL,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=16102#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=68#tab6XX
650,68,17505,ECUACIONES DIFERENCIALES,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=17505#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=68#tab6XX
700,70,9643,"Mesny, Marcelo",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=9643#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=70#tab7XX
650,75,19975,MODELOS MATEMATICOS,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=19975#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=75#tab6XX
650,75,15875,AUTOMATIZACION,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=15875#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=75#tab6XX
650,75,16811,CONTROL AUTOMATICO,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=16811#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=75#tab6XX
700,75,4869,"Fabián-Frankel, Bartolomé Alejandro",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=4869#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=75#tab7XX
650,77,18325,FISICA,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=18325#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=77#tab6XX
700,77,5009,"Fernández Everest, Sergio",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=5009#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=77#tab7XX
650,80,18649,GEOMETRIA ANALITICA,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=18649#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=80#tab6XX
650,80,21645,SERIES[MATEMATICAS],,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=21645#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=80#tab6XX
650,80,15659,ANALISIS[MATEMATICAS],,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/authorities/detail.pl?authid=15659#tab1XX,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=80#tab6XX
