Field,BN,$a,SF2,Link
700,13062,"Turiel Trujillo, Esther",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13062#tab7XX
700,13062,"Moreno Falcón, Eva",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13062#tab7XX
100,13066,"Hartree, Douglas R.",1897-1958,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13066#tab1XX
650,13066,INTEGRACION NUMERICA,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13066#tab6XX
100,13068,"Jaime, Valentín",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13068#tab1XX
700,13068,"Alvarez, Julio",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13068#tab7XX
100,13204,"Sears, Francis Weston,",1898-1975.,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13204#tab1XX
110,13207,"Argentina. Leyes, decretos, etc.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13207#tab1XX
100,13469,"Carisimo, Esteban",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13469#tab1XX
700,13469,"Alvarez-Hamelin, J. I.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13469#tab7XX
700,13470,"Lutemberg, Ariel",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13470#tab7XX
700,13470,"Rey Vega, Leonardo",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13470#tab7XX
100,13471,"Levi Hadid, Lucas",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13471#tab1XX
700,13471,"Galarza, Cecilia",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13471#tab7XX
100,13472,"Cuomo, Joaquin M.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13472#tab1XX
700,13472,"Zanutto, Silvano",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13472#tab7XX
700,13472,"Schilling, Mainhard",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13472#tab7XX
700,13472,"Arini, Pedro",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13472#tab7XX
700,13472,"Caiafa, César",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13472#tab7XX
700,13472,"Yorio, Alberto",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13472#tab7XX
650,13737,Computer software,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13737#tab6XX
650,13790,Competition.,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13790#tab6XX
650,13790,Market segmentation.,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13790#tab6XX
650,13790,Quality of products.,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13790#tab6XX
650,13790,Customer services.,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13790#tab6XX
650,13791,Strategic planning.,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13791#tab6XX
650,13791,Intangible property,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13791#tab6XX
650,13791,Human capital.,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13791#tab6XX
650,13791,Management.,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13791#tab6XX
650,13795,ESTRUCTURAS [CONSTRUCCION],,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13795#tab6XX
650,13797,Selling.,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13797#tab6XX
650,13797,Sales management.,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13797#tab6XX
650,13798,Selling,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13798#tab6XX
650,13810,Success,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13810#tab6XX
650,13810,Character.,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13810#tab6XX
650,13812,Information technology,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13812#tab6XX
650,13812,Information society.,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13812#tab6XX
110,13843,"Argentina. Leyes, decretos, etc.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13843#tab1XX
110,13844,"Argentina. Leyes, decretos, etc.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13844#tab1XX
700,13939,"Sabato, Jorge A.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13939#tab7XX
700,13940,"Sabato, Jorge A.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13940#tab7XX
700,14111,"Martínez García, Guillermo",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=14111#tab7XX
100,14398,"Vian Ortuño, Angel",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=14398#tab1XX
100,14459,"Howell, John R.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=14459#tab1XX
650,14459,Termodinámica.,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=14459#tab6XX
650,14459,Ingeniería mecánica.,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=14459#tab6XX
700,14459,"Buckius, Richard O.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=14459#tab7XX
110,14472,España.,Ministerio de Ciencia y Tecnología.,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=14472#tab1XX
650,14472,Envases a presión,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=14472#tab6XX
700,14487,"Guerasimov, Ya.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=14487#tab7XX
100,14489,"Deutsch, Irving",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=14489#tab1XX
700,14489,"Ródenas, Alberto",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=14489#tab7XX
100,14582,"Kyle, B. G.",1927-,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=14582#tab1XX
650,14582,Thermodynamics.,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=14582#tab6XX
100,14587,"Huber, Walter,",1928-,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=14587#tab1XX
650,14587,Disolventes no acuosos.,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=14587#tab6XX
650,14587,Análisis volumétrico.,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=14587#tab6XX
100,14663,"García Merayo, Félix.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=14663#tab1XX
700,14663,"Nevot Luna, Antonio.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=14663#tab7XX
100,14665,"Sierra Bravo, Restituto.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=14665#tab1XX
650,14665,Statistics,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=14665#tab6XX
100,14676,"Majaro, Simón.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=14676#tab1XX
100,14722,"Cantarow, Abraham,",1901-,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=14722#tab1XX
650,14722,Biochemistry.,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=14722#tab6XX
700,14722,"Schepartz, Bernard,",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=14722#tab7XX
100,15397,"Schechter, Robert Samuel.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=15397#tab1XX
100,15402,"Russell, T. W. F.,",1934-,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=15402#tab1XX
700,15402,"Denn, Morton M.,",1939-,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=15402#tab7XX
700,15926,"Ireson, William Grant",1914-,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=15926#tab7XX
700,15926,"Grant, Eugene Lodewick",1897-,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=15926#tab7XX
710,16099,Netscape Communications Corporation.,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=16099#tab7XX
710,16100,Arthur Andersen (Firm),,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=16100#tab7XX
