Field,BN,$a,SF2,Link
700,3942,"Corona Rodríguez de Contín, Hortensia",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=3942#tab7XX
700,3943,"Bosch Tejada, Antonio",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=3943#tab7XX
110,3983,Siemens Aktiengesellschaft,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=3983#tab1XX
700,4001,"Rodríguez Ramírez, Francisco",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4001#tab7XX
100,4013,"García López, M.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4013#tab1XX
100,4031,"Butty, Enrique",1887-,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4031#tab1XX
100,4285,"Torrey, M.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4285#tab1XX
650,4285,ZUMOS DE FRUTAS,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4285#tab6XX
650,4289,ZUMOS DE FRUTAS,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4289#tab6XX
710,4300,Babcock & Wilcox,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4300#tab7XX
100,4326,"Sykes, G.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4326#tab1XX
100,4525,"Sabato, Jorge A.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4525#tab1XX
110,4536,Argentina. Presidencia de la Nación,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4536#tab1XX
100,4666,"Gere, James Monroe",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4666#tab1XX
700,4865,"Ballou, Donald H.",1937-,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4865#tab7XX
700,4982,"Rodríguez, Martín",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=4982#tab7XX
710,5016,Naciones Unidas.Comisión Económica para América Latina y el Caribe,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5016#tab7XX
100,5033,"Kraus, John Daniel",1910-,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5033#tab1XX
110,5064,Siemens Aktiengesellschaft,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5064#tab1XX
110,5067,Siemens Aktiengesellschaft,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5067#tab1XX
100,5106,"Kahn, Peter B.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5106#tab1XX
100,5319,Chapp,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5319#tab1XX
110,5365,Shell,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5365#tab1XX
110,5503,Siemens Aktiengesellschaft,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5503#tab1XX
110,5571,Buenos Aires. Universidad. Facultad de Ingeniería,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5571#tab1XX
110,5690,Universidad de Buenos Aires. Facultad de ingeniería. Instituto de ingeniería sanitaria,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5690#tab1XX
100,5718,"Dunlop, John",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5718#tab1XX
700,5786,"Ruiz Azuara, Lena",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5786#tab7XX
710,5792,Siemens Aktiengesellschaft,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5792#tab7XX
700,5944,"Sanguino Muñoz, Doroteo",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5944#tab7XX
100,5955,"Gray, W. S.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=5955#tab1XX
110,6181,Argentina. Consejo Federal de Inversiones,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=6181#tab1XX
700,6233,"Kibbey, Donald E.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=6233#tab7XX
700,6236,"Llamas Jimeno y Campo, Amaury",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=6236#tab7XX
700,6236,"Veloza Cantor, Elías",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=6236#tab7XX
100,6255,"Williams, J.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=6255#tab1XX
100,6271,"Kretzmann, R.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=6271#tab1XX
100,6311,"Maron, Isaac Abramovich",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=6311#tab1XX
100,6413,"De Garmo, Ernest Paul",1907-,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=6413#tab1XX
100,6455,"Atkinson, Lee",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=6455#tab1XX
100,6459,"Kendall, Maurice george",1907-,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=6459#tab1XX
100,6481,"González, Hernán",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=6481#tab1XX
100,6681,"Fontela, Carlos Moisés",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=6681#tab1XX
100,6694,"Fontela, Carlos Moisés",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=6694#tab1XX
110,6811,Universidad de Buenos Aires.Facultad de Ingeniería,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=6811#tab1XX
100,6819,"Watson, W.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=6819#tab1XX
100,6824,"Chevalier, A.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=6824#tab1XX
700,6889,"Hernández Rangel, Francisco",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=6889#tab7XX
700,7016,"Pérez Castellanos, Hernán",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=7016#tab7XX
100,7028,"Keyser, Carl Anton",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=7028#tab1XX
700,7028,"Corona Rodríguez de Contín, Hortensia",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=7028#tab7XX
700,7107,"Corona Rodríguez de Contín, Hortensia",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=7107#tab7XX
100,7120,"Kraus, John Daniel",1910-,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=7120#tab1XX
100,7139,"Kraus, John Daniel",1910-,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=7139#tab1XX
110,7362,Van Valkenburgh Nooger & Neville,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=7362#tab1XX
700,7388,"Corral, Francisco Muñoz del",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=7388#tab7XX
700,7400,"Corral, Francisco Muñoz del",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=7400#tab7XX
700,7401,"Maluquer Wahl, Juan J.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=7401#tab7XX
100,7428,"Keyser, Carl Anton",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=7428#tab1XX
700,7428,"Corona Rodríguez de Contín, Hortensia",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=7428#tab7XX
