Field,Link,BN,$a,SF2
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11577#tab6XX,11577,"Law, T. A., ",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11577#tab6XX,11577,"Morris, L. F., ",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11577#tab6XX,11577,"Sinclair, A. T., ",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11578#tab6XX,11578,"Fazzini, H. F., ",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11715#tab6XX,11715,"Ireson, William Grant",1914-
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11715#tab6XX,11715,"Grant, Eugene Lodewick",1897-
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11864#tab6XX,11864,"Dams, Alberto",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11867#tab6XX,11867,"Dams, Alberto",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11870#tab6XX,11870,"Dams, Alberto",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11892#tab6XX,11892,"Dams, Alberto",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12065#tab6XX,12065,"del Carril, Tomás",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12082#tab6XX,12082,"Alberto, Dams",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12426#tab6XX,12426,"Armentano, Ricardo L.",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12438#tab6XX,12438,"Dams, Juan Alberto",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12455#tab6XX,12455,"García-Martínez, Ramón",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12502#tab6XX,12502,"Dams, Alberto Armando",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12548#tab6XX,12548,"Armentano, Ricardo L.",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12568#tab6XX,12568,"Villagra, Sergio G.",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12581#tab6XX,12581,"Gurlekian, Jorge",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12647#tab6XX,12647,"Rufiner, Leonardo",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12647#tab6XX,12647,"Gurlekian, Jorge",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12653#tab6XX,12653,"Lew, Sergio E.",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12665#tab6XX,12665,"Dams, Alberto",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12667#tab6XX,12667,"Dams, Alberto",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12669#tab6XX,12669,"Lew, Sergio E.",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12670#tab6XX,12670,"Lew, Sergio E.",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12674#tab6XX,12674,"Lew, Sergio E.",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12680#tab6XX,12680,"Rufiner, Leonardo",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12681#tab6XX,12681,"Dams, Alberto",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12683#tab6XX,12683,"Cassanello, Miryan C.",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12685#tab6XX,12685,"Mártire, Daniel",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12687#tab6XX,12687,"Lew, Sergio E.",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12700#tab6XX,12700,"Dams, Alberto",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12703#tab6XX,12703,"Dams, Alberto",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12705#tab6XX,12705,"Dams, Alberto",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12707#tab6XX,12707,"Dams, Alberto",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12714#tab6XX,12714,"Giribet, Juan Ingacio",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12718#tab6XX,12718,"Lew, Sergio E.",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12732#tab6XX,12732,"Dams, Alberto",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12735#tab6XX,12735,"Ulla, M. Alicia H.",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12744#tab6XX,12744,"Dams, Alberto",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12754#tab6XX,12754,"Della Maggiore, Valeria",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12760#tab6XX,12760,"Lutemberg, Ariel",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12836#tab6XX,12836,"Pérez Castellanos, Hernán",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12848#tab6XX,12848,"González Aragüena, Enrique",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12895#tab6XX,12895,"Rodríguez Bayraguet, A.",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12907#tab6XX,12907,"Morineau, Alain",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12928#tab6XX,12928,"Vívori, Ana",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12945#tab6XX,12945,"García Bisogmo, Virgilio",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12963#tab6XX,12963,"Naves Ruiz, Juan",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12983#tab6XX,12983,"Aguado Alonso, J.",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13003#tab6XX,13003,"Carvin, W. J.",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13003#tab6XX,13003,"Dore, E.",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13003#tab6XX,13003,"Franklin, P.",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13003#tab6XX,13003,"Hartil, J.",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13003#tab6XX,13003,"Leworthy, L.R.",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13003#tab6XX,13003,"Sanderson Watts, W.M.",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13003#tab6XX,13003,"Sullivan, P.J.E.",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13016#tab6XX,13016,"López Alfaro, Sonia O,",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13040#tab6XX,13040,"Redheffer, Raymond M.",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13043#tab6XX,13043,"Pro Bermejo, Rafael",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13046#tab6XX,13046,"Hidalgo Mondragón, Consuelo",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13046#tab6XX,13046,"Cruz Sosa, Francisco",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13054#tab6XX,13054,"Luque, Susana de",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13054#tab6XX,13054,"Giardina, Mónica",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13054#tab6XX,13054,"Gutiérrez, Antonio",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13054#tab6XX,13054,"García, María Cristina",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13054#tab6XX,13054,"Laso, Eduardo",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13054#tab6XX,13054,"Moralejo, Enrique",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13054#tab6XX,13054,"Pardo, Rubén H.",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13054#tab6XX,13054,"Rivera, Silvia",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13054#tab6XX,13054,"Samaja, Juan",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13055#tab6XX,13055,"Tagarro Merino, María Elena",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13055#tab6XX,13055,"Fuente Millán, Luis Alberto de la",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13055#tab6XX,13055,"Pillado Ortiz, José María",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13058#tab6XX,13058,"Keller, Kevin Lane",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13058#tab6XX,13058,"Rivera, Clara E.",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13058#tab6XX,13058,"Dávila Ruiz, Diana",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13058#tab6XX,13058,"Tena Loeza, Estela",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13058#tab6XX,13058,"Ramos, María de los Angeles",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13058#tab6XX,13058,"Sciarroni, Roberto",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13058#tab6XX,13058,"Davison, Kurt Kiessling",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13062#tab6XX,13062,"Skoog, Douglas Arvid",1918-
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13062#tab6XX,13062,"Turiel Trujillo, Esther",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13062#tab6XX,13062,"Moreno Falcón, Eva",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13068#tab6XX,13068,"Alvarez, Julio",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13469#tab6XX,13469,"Alvarez-Hamelin, J. I.",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13470#tab6XX,13470,"Lutemberg, Ariel",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13470#tab6XX,13470,"Rey Vega, Leonardo",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13471#tab6XX,13471,"Galarza, Cecilia",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13472#tab6XX,13472,"Zanutto, Silvano",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13472#tab6XX,13472,"Schilling, Mainhard",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13472#tab6XX,13472,"Arini, Pedro",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13472#tab6XX,13472,"Caiafa, César",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13472#tab6XX,13472,"Yorio, Alberto",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13939#tab6XX,13939,"Sabato, Jorge A.",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=13940#tab6XX,13940,"Sabato, Jorge A.",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=14111#tab6XX,14111,"Martínez García, Guillermo",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=14459#tab6XX,14459,"Buckius, Richard O.",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=14487#tab6XX,14487,"Guerasimov, Ya.",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=14489#tab6XX,14489,"Ródenas, Alberto",
700,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=14663#tab6XX,14663,"Nevot Luna, Antonio.",
